loan_id,agency,product_type,vintage,origination_date,loan_purpose,fico,ltv,dti,coupon,current_balance,loan_age_months
SYNTH-0001,FNMA,30YR_FIXED,2021,2021-03-15,purchase,742,78.5,34.1,3.125,286450.25,63
SYNTH-0002,FHLMC,30YR_FIXED,2020,2020-08-21,rate_term_refinance,781,64.2,28.4,2.875,198230.11,70
SYNTH-0003,GNMA,30YR_FIXED,2022,2022-01-10,purchase,689,96.5,41.7,4.250,321980.00,53
SYNTH-0004,FNMA,15YR_FIXED,2019,2019-11-04,cash_out_refinance,721,70.0,33.5,3.000,145750.80,79
SYNTH-0005,FHLMC,30YR_FIXED,2023,2023-05-30,purchase,755,82.1,36.2,6.625,412100.42,37
SYNTH-0006,FNMA,ARM_5_1,2021,2021-07-18,rate_term_refinance,799,58.4,24.9,3.375,225640.33,59
SYNTH-0007,GNMA,30YR_FIXED,2020,2020-02-29,streamline_refinance,662,101.2,44.8,3.750,267500.00,76
SYNTH-0008,FHLMC,20YR_FIXED,2024,2024-02-12,purchase,708,88.0,39.3,6.990,376210.74,28
SYNTH-0009,FNMA,30YR_FIXED,2022,2022-09-03,purchase,730,79.8,31.0,5.125,334880.55,45
SYNTH-0010,GNMA,30YR_FIXED,2023,2023-10-20,cash_out_refinance,646,91.5,49.2,7.250,289300.00,32
SYNTH-0011,FNMA,15YR_FIXED,2018,2018-06-14,rate_term_refinance,812,52.4,22.0,2.750,98240.12,96
SYNTH-0012,FHLMC,30YR_FIXED,2024,2024-08-09,purchase,695,84.7,38.6,6.875,455980.67,22
SYNTH-0013,FNMA,30YR_FIXED,2021,not-a-date,purchase,725,81.0,35.0,3.250,301100.00,61
SYNTH-0014,FHLMC,30YR_FIXED,2022,2022-04-01,debt_consolidation,715,76.4,32.5,4.875,250300.00,50
SYNTH-0014,FNMA,30YR_FIXED,2023,2023-03-19,cash_out_refinance,855,130.0,67.2,13.250,-125.00,40
SYNTH-0016,GNMA,30YR_FIXED,2024,2024-12-05,purchase,678,97.2,,6.500,362900.90,18

